                                                 3                                                  5                                                 11                                                  8                                                  9 
                                                 2                                                  6                                                  8                                                  5                                                 10 
                                                 1                                                  6                                                  8                                                  4                                                  9 
                                                 0                                                  5                                                 11                                                 10                                                  7 
                                                 2                                                  6                                                  9                                                  7                                                 11 
                                                 3                                                  0                                                  8                                                  1                                                 10 
                                                 2                                                  1                                                 10                                                  4                                                  7 
                                                 3                                                 10                                                 11                                                  6                                                  4 
                                                 5                                                  0                                                  9                                                  2                                                  1 
                                                 8                                                  0                                                 11                                                  4                                                  2 
                                                 5                                                  1                                                  6                                                  3                                                  7 
                                                 3                                                  0                                                  9                                                  7                                                  4 
